x	y1
a	8.16699999999999930000e-02
b	1.49199999999999990000e-02
c	2.78200000000000010000e-02
d	4.25299999999999980000e-02
e	1.27019999999999990000e-01
f	2.22800000000000010000e-02
g	2.01500000000000010000e-02
h	6.09400000000000010000e-02
i	6.96600000000000000000e-02
j	1.52999999999999990000e-03
k	7.72000000000000030000e-03
l	4.02500000000000010000e-02
m	2.40600000000000020000e-02
n	6.74899999999999940000e-02
o	7.50699999999999980000e-02
p	1.92900000000000020000e-02
q	9.50000000000000000000e-04
r	5.98700000000000000000e-02
s	6.32699999999999930000e-02
t	9.05599999999999880000e-02
u	2.75800000000000000000e-02
v	9.78000000000000050000e-03
w	2.36100000000000030000e-02
x	1.50000000000000000000e-03
y	1.97400000000000010000e-02
z	7.39999999999999990000e-04
